word,chi2_score,p_value,association,freq_class0,freq_class1
15,27.318304118410666,1.7257006779218234e-07,Disaster,11,41
caused,27.16412157118272,1.8689503777535634e-07,Disaster,4,29
calgary,27.16412157118272,1.8689503777535634e-07,Disaster,4,29
evacuated,27.16412157118272,1.8689503777535634e-07,Disaster,4,29
lol,26.582509701782946,2.5251948864442e-07,Kein Disaster,62,9
water,26.346322221309187,2.853617729035753e-07,Disaster,17,49
08,25.669426667676817,4.0519582343454367e-07,Disaster,10,38
ruin,25.22760957735788,5.09476054847587e-07,Kein Disaster,37,1
disea,25.22103332314277,5.112162073770533e-07,Disaster,0,19
declaration,25.22103332314277,5.112162073770533e-07,Disaster,0,19
issued,25.22103332314277,5.112162073770533e-07,Disaster,0,19
village,25.22103332314277,5.112162073770533e-07,Disaster,0,19
myanmar,25.22103332314277,5.112162073770533e-07,Disaster,0,19
trains,24.73394532423204,6.58147406004984e-07,Disaster,1,21
crisis,24.73394532423204,6.58147406004984e-07,Disaster,1,21
bigger,24.52880090112558,7.320734596228187e-07,Disaster,2,23
weather,24.46841105298065,7.553820789697128e-07,Disaster,12,40
lives,24.312681746324852,8.189808978287431e-07,Disaster,7,32
marks,23.89361051666157,1.0180911148768447e-06,Disaster,0,18
nagasaki,23.89361051666157,1.0180911148768447e-06,Disaster,0,18
coaches,23.89361051666157,1.0180911148768447e-06,Disaster,0,18
mount,23.89361051666157,1.0180911148768447e-06,Disaster,0,18
virgin,23.89361051666157,1.0180911148768447e-06,Disaster,0,18
fukushima,23.4153553365417,1.3053242393979255e-06,Disaster,1,20
want,23.300941963813592,1.3853214282565645e-06,Kein Disaster,67,13
county,23.120182928904036,1.5218485745344547e-06,Disaster,7,31
pradesh,22.566187710180373,2.030265533656118e-06,Disaster,0,17
theater,22.566187710180373,2.030265533656118e-06,Disaster,0,17
libya,22.566187710180373,2.030265533656118e-06,Disaster,0,17
outrage,22.566187710180373,2.030265533656118e-06,Disaster,0,17
galactic,22.566187710180373,2.030265533656118e-06,Disaster,0,17
madhya,22.566187710180373,2.030265533656118e-06,Disaster,0,17
05,22.387367005752857,2.2283493690066612e-06,Disaster,8,32
terrorist,22.387367005752857,2.2283493690066612e-06,Disaster,8,32
floods,21.948687938324834,2.8003828851043066e-06,Disaster,15,42
massacre,21.93497730008109,2.8204610403347953e-06,Disaster,7,30
amid,21.93073111120843,2.826708494957845e-06,Disaster,2,21
reddit,21.81833060760108,2.9972294131622845e-06,Kein Disaster,55,9
murder,21.728188898205484,3.141411469152853e-06,Disaster,9,33
ebay,21.477183184859236,3.580638767506513e-06,Kein Disaster,32,1
militants,21.238764903699177,4.0548014206645805e-06,Disaster,0,16
bombs,21.238764903699177,4.0548014206645805e-06,Disaster,0,16
nws,21.238764903699177,4.0548014206645805e-06,Disaster,0,16
70th,21.238764903699177,4.0548014206645805e-06,Disaster,0,16
pakistani,21.238764903699177,4.0548014206645805e-06,Disaster,0,16
area,21.178014417506873,4.185382741931224e-06,Disaster,12,37
india,21.16681625979675,4.209909519503256e-06,Disaster,5,26
temple,20.780964672358138,5.149222901696297e-06,Disaster,1,18
christian,20.780964672358138,5.149222901696297e-06,Disaster,1,18
muslims,20.780964672358138,5.149222901696297e-06,Disaster,1,18
la,20.635567295093853,5.555439332222903e-06,Disaster,2,20
11,20.504341676181582,5.949614438023739e-06,Disaster,19,46
collapse,20.095721135071905,7.366129057645714e-06,Disaster,24,52
boy,20.020869389480495,7.66015765804891e-06,Disaster,10,33
passengers,19.91134209721798,8.111765080857526e-06,Disaster,0,15
cdt,19.91134209721798,8.111765080857526e-06,Disaster,0,15
waving,19.91134209721798,8.111765080857526e-06,Disaster,0,15
crematoria,19.91134209721798,8.111765080857526e-06,Disaster,0,15
geller,19.91134209721798,8.111765080857526e-06,Disaster,0,15
wrecked,19.801917044205503,8.589648292343192e-06,Kein Disaster,36,3
flooding,19.65112386660492,9.294862589598893e-06,Disaster,13,37
casualties,19.588946130033754,9.602315088299326e-06,Disaster,7,28
city,19.53104271190646,9.897808580067638e-06,Disaster,19,45
experts,19.465473919331263,1.024345968018445e-05,Disaster,1,17
flight,19.465473919331263,1.024345968018445e-05,Disaster,1,17
mph,19.465473919331263,1.024345968018445e-05,Disaster,1,17
bodies,19.423896372178163,1.0468892648333208e-05,Disaster,3,21
east,19.343475763776098,1.091916760953147e-05,Disaster,2,19
picking,19.343475763776098,1.091916760953147e-05,Disaster,2,19
minute,19.139313696173726,1.2151593301266722e-05,Disaster,6,26
south,19.139313696173726,1.2151593301266722e-05,Disaster,6,26
blew,19.0802739270529,1.2533366347301765e-05,Kein Disaster,32,2
air,18.919402412532936,1.3635875477358558e-05,Disaster,10,32
don,18.862885413955052,1.4045906153732575e-05,Kein Disaster,138,52
years,18.759343651083878,1.4829499615497194e-05,Disaster,26,53
taiwan,18.58391929073678,1.6258626840477883e-05,Disaster,0,14
04,18.58391929073678,1.6258626840477883e-05,Disaster,0,14
pilot,18.58391929073678,1.6258626840477883e-05,Disaster,0,14
recount,18.58391929073678,1.6258626840477883e-05,Disaster,0,14
central,18.58391929073678,1.6258626840477883e-05,Disaster,0,14
marians,18.58391929073678,1.6258626840477883e-05,Disaster,0,14
provoke,18.58391929073678,1.6258626840477883e-05,Disaster,0,14
electrocute,18.480881762938907,1.7161722271158373e-05,Kein Disaster,28,1
explode,18.45269526919067,1.7417432012424053e-05,Kein Disaster,37,4
harm,18.45269526919067,1.7417432012424053e-05,Kein Disaster,37,4
panic,18.45269526919067,1.7417432012424053e-05,Kein Disaster,37,4
horror,18.404848843663153,1.7860291477084292e-05,Disaster,4,22
west,18.404848843663153,1.7860291477084292e-05,Disaster,4,22
panicking,18.34148262428266,1.846425946828924e-05,Kein Disaster,31,2
mass,18.27676423977433,1.9102301820449555e-05,Disaster,24,50
dead,18.177367098693054,2.0125638547606773e-05,Disaster,35,63
rd,18.16300773332811,2.02779598299938e-05,Disaster,3,20
landing,18.151386937299012,2.0402078443751934e-05,Disaster,1,16
heavy,18.054917359974688,2.1462359338665417e-05,Disaster,2,18
https,18.010190954986104,2.197255432859383e-05,Kein Disaster,277,134
deaths,17.82895767117239,2.4167706390099627e-05,Disaster,10,31
collision,17.82895767117239,2.4167706390099627e-05,Disaster,10,31
better,17.620374817235223,2.6968351975910884e-05,Kein Disaster,33,3
traumatised,17.620374817235223,2.6968351975910884e-05,Kein Disaster,33,3
song,17.603600582270303,2.7207273619829026e-05,Kein Disaster,30,2
wounded,17.570985608269865,2.7677926625539912e-05,Disaster,13,35
content,17.4633590462129,2.928987373747031e-05,Kein Disaster,46,8
airlines,17.256496484255585,3.265789936128049e-05,Disaster,0,13
udhampur,17.256496484255585,3.265789936128049e-05,Disaster,0,13
wrought,17.256496484255585,3.265789936128049e-05,Disaster,0,13
boat,17.246923097823505,3.2822867041590385e-05,Disaster,9,29
pakistan,17.177875570262017,3.4037756483749286e-05,Disaster,4,21
memories,17.177875570262017,3.4037756483749286e-05,Disaster,4,21
devastated,16.934318236513363,3.869565067772068e-05,Disaster,12,33
blazing,16.866715793992405,4.0098610247327146e-05,Kein Disaster,29,2
rly,16.83896693332288,4.068918460324147e-05,Disaster,1,15
ebola,16.83896693332288,4.068918460324147e-05,Disaster,1,15
pamela,16.83896693332288,4.068918460324147e-05,Disaster,1,15
youtube,16.834300462635525,4.078935572404902e-05,Kein Disaster,76,22
war,16.816798668730314,4.116726530417522e-05,Disaster,33,59
fucking,16.80718219277176,4.1376406498879796e-05,Kein Disaster,40,6
issues,16.790525254314645,4.1741195809244265e-05,Disaster,6,24
know,16.773362674852038,4.212044107613582e-05,Kein Disaster,86,27
car,16.697686556516047,4.383442021964588e-05,Disaster,34,60
derailed,16.68299863766174,4.417512400799076e-05,Disaster,8,27
north,16.34467130404849,5.280442407654477e-05,Disaster,5,22
crush,16.31839994431296,5.3541538219986816e-05,Kein Disaster,34,4
self,16.31839994431296,5.3541538219986816e-05,Kein Disaster,34,4
wild,16.19892806161541,5.702637595767703e-05,Disaster,14,35
sandstorm,16.15459399318554,5.837680862936348e-05,Disaster,9,28
devastation,16.15459399318554,5.837680862936348e-05,Disaster,9,28
violent,16.15459399318554,5.837680862936348e-05,Disaster,9,28
shoulder,16.130927984822396,5.9110803521863624e-05,Kein Disaster,28,2
street,15.95927309128422,6.471995512221527e-05,Disaster,4,20
struggles,15.929073677774385,6.576078320791718e-05,Disaster,0,12
palestinian,15.929073677774385,6.576078320791718e-05,Disaster,0,12
ûïwhen,15.929073677774385,6.576078320791718e-05,Disaster,0,12
cranes,15.929073677774385,6.576078320791718e-05,Disaster,0,12
roosevelt,15.929073677774385,6.576078320791718e-05,Disaster,0,12
plunging,15.929073677774385,6.576078320791718e-05,Disaster,0,12
feel,15.883410476466857,6.736663986740054e-05,Kein Disaster,46,9
survivors,15.684526352316006,7.483388901449473e-05,Disaster,10,29
flag,15.66024021780836,7.580102867133207e-05,Disaster,3,18
shooting,15.631961576718034,7.694301793624422e-05,Disaster,6,23
armageddon,15.61149873150909,7.778015790445915e-05,Kein Disaster,33,4
12000,15.528547303014086,8.12686462789802e-05,Disaster,1,14
terror,15.528547303014086,8.12686462789802e-05,Disaster,1,14
coast,15.528547303014086,8.12686462789802e-05,Disaster,1,14
terrorism,15.264258592574109,9.34684712438148e-05,Disaster,11,30
iran,15.07532564976108,0.00010330482862555351,Disaster,9,27
screamed,14.907177422154803,0.00011293249816583821,Kein Disaster,32,4
screaming,14.769975864335846,0.0001214539737071174,Kein Disaster,37,6
hailstorm,14.750133249480626,0.0001227388517601417,Disaster,4,19
saved,14.750133249480626,0.0001227388517601417,Disaster,4,19
gt,14.678558257442933,0.00012748835250178187,Kein Disaster,72,22
state,14.638362745636575,0.00013023629475567342,Disaster,16,36
displaced,14.632458625549884,0.00013064491880394603,Disaster,10,28
update,14.632458625549884,0.00013064491880394603,Disaster,10,28
exchanging,14.601650871293181,0.00013279815663969148,Disaster,0,11
destroys,14.601650871293181,0.00013279815663969148,Disaster,0,11
carrying,14.601650871293181,0.00013279815663969148,Disaster,0,11
express,14.601650871293181,0.00013279815663969148,Disaster,0,11
00,14.480393346791402,0.00014162600920453026,Disaster,8,25
closed,14.420262317356679,0.00014622052650577438,Disaster,3,17
aftershock,14.31345002303086,0.0001547551979182086,Kein Disaster,19,0
firefighters,14.22055669787278,0.0001625846768716803,Disaster,1,13
alabama,14.22055669787278,0.0001625846768716803,Disaster,1,13
reported,14.216675844579711,0.00016292031818345584,Disaster,2,15
flood,13.94768343268085,0.0001879691464260822,Disaster,19,39
play,13.9313652976352,0.00018960795697606935,Kein Disaster,25,2
blight,13.9313652976352,0.00018960795697606935,Kein Disaster,25,2
volcano,13.904009963282524,0.00019238757427289237,Disaster,7,23
got,13.804654116100988,0.00020283315343516927,Kein Disaster,84,29
bloody,13.79702042817609,0.0002036589599776182,Kein Disaster,38,7
think,13.633905526058467,0.00022213731699021066,Kein Disaster,66,20
bus,13.595274957146753,0.00022675555197458104,Disaster,10,27
hostages,13.595274957146753,0.00022675555197458104,Disaster,10,27
youth,13.551746404465911,0.00023207538226830074,Disaster,4,18
possible,13.400289466454296,0.0002515854698336412,Disaster,8,24
06,13.35235847238806,0.0002580978296799055,Disaster,6,21
ass,13.341413353767804,0.0002596086114834486,Kein Disaster,42,9
utc,13.274228064811984,0.0002690796601744771,Disaster,0,10
yyc,13.274228064811984,0.0002690796601744771,Disaster,0,10
wildfires,13.274228064811984,0.0002690796601744771,Disaster,0,10
region,13.274228064811984,0.0002690796601744771,Disaster,0,10
civilian,13.274228064811984,0.0002690796601744771,Disaster,0,10
municipal,13.274228064811984,0.0002690796601744771,Disaster,0,10
mediterranean,13.274228064811984,0.0002690796601744771,Disaster,0,10
hawaii,13.274228064811984,0.0002690796601744771,Disaster,0,10
sh,13.274228064811984,0.0002690796601744771,Disaster,0,10
grows,13.274228064811984,0.0002690796601744771,Disaster,0,10
spaceship,13.274228064811984,0.0002690796601744771,Disaster,0,10
areas,13.274228064811984,0.0002690796601744771,Disaster,0,10
5km,13.274228064811984,0.0002690796601744771,Disaster,0,10
hwy,13.274228064811984,0.0002690796601744771,Disaster,0,10
examining,13.274228064811984,0.0002690796601744771,Disaster,0,10
leather,13.252278692535292,0.000272248722680566,Kein Disaster,21,1
nowplaying,13.201278029470334,0.0002797582771257449,Kein Disaster,24,2
reports,13.189489143855475,0.0002815236294983407,Disaster,3,16
liked,13.144669514788571,0.00028833836924854777,Kein Disaster,37,7
curfew,13.097437633943342,0.0002956999685691318,Kein Disaster,32,5
nigerian,12.949264248118773,0.00032004725147556325,Disaster,2,14
cameroon,12.915555662168382,0.0003258626536658772,Disaster,1,12
ap,12.915555662168382,0.0003258626536658772,Disaster,1,12
gunman,12.915555662168382,0.0003258626536658772,Disaster,1,12
philippines,12.915555662168382,0.0003258626536658772,Disaster,1,12
suspected,12.915555662168382,0.0003258626536658772,Disaster,1,12
victim,12.915555662168382,0.0003258626536658772,Disaster,1,12
incident,12.915555662168382,0.0003258626536658772,Disaster,1,12
collide,12.81203828156178,0.00034439616136517335,Kein Disaster,29,4
long,12.766191350337916,0.0003529407324647352,Kein Disaster,34,6
music,12.593251389250721,0.0003871420796702077,Kein Disaster,26,3
cross,12.559754145877196,0.000394143598995964,Kein Disaster,43,10
ball,12.507772036429794,0.0004052625946000958,Kein Disaster,20,1
flash,12.36564869863848,0.0004373055969867165,Disaster,4,17
rain,12.340174535735969,0.000443313571944685,Disaster,14,31
ll,12.178628373473074,0.00048340177097154713,Kein Disaster,51,14
twister,12.107023312704108,0.0005023226042323803,Kein Disaster,33,6
really,12.093973943953227,0.0005058504448672921,Kein Disaster,55,16
day,12.09304839127317,0.0005061016117784397,Kein Disaster,86,32
good,12.092286979176011,0.0005063083302849668,Kein Disaster,67,22
disney,12.053431598341778,0.0005169712510818417,Kein Disaster,16,0
lmao,12.053431598341778,0.0005169712510818417,Kein Disaster,16,0
cases,11.946805258330786,0.000547411645069062,Disaster,0,9
ar,11.946805258330786,0.000547411645069062,Disaster,0,9
manchester,11.946805258330786,0.000547411645069062,Disaster,0,9
confirms,11.946805258330786,0.000547411645069062,Disaster,0,9
tram,11.946805258330786,0.000547411645069062,Disaster,0,9
canyon,11.946805258330786,0.000547411645069062,Disaster,0,9
abstorm,11.946805258330786,0.000547411645069062,Disaster,0,9
spos,11.946805258330786,0.000547411645069062,Disaster,0,9
motorcyclist,11.946805258330786,0.000547411645069062,Disaster,0,9
tornado,11.927758606053807,0.0005530367432639939,Disaster,9,24
im,11.837879690610546,0.0005803787398144931,Kein Disaster,44,11
mayhem,11.764148662203379,0.0006038249315929782,Kein Disaster,19,1
bleeding,11.748317073392997,0.0006089827767190731,Kein Disaster,30,5
happy,11.74691654482348,0.0006094411978043767,Kein Disaster,22,2
book,11.74691654482348,0.0006094411978043767,Kein Disaster,22,2
died,11.72525328314751,0.0006165765655752335,Disaster,7,21
aug,11.692107659665968,0.0006276576062644713,Disaster,5,18
time,11.64238170908509,0.0006446600898498826,Kein Disaster,85,32
richmond,11.614291588260116,0.0006544696134754798,Disaster,1,11
millions,11.614291588260116,0.0006544696134754798,Disaster,1,11
worldnews,11.614291588260116,0.0006544696134754798,Disaster,1,11
deluge,11.452811666505182,0.0007138590523568671,Kein Disaster,32,6
crushed,11.433007809778918,0.0007215079253964118,Kein Disaster,27,4
obliterated,11.433007809778918,0.0007215079253964118,Kein Disaster,27,4
refugees,11.416705975290121,0.0007278663049474754,Disaster,14,30
houses,11.193683502876429,0.0008207624934395465,Disaster,4,16
bbc,11.193683502876429,0.0008207624934395465,Disaster,4,16
stretcher,11.1803830666161,0.0008266670330076001,Kein Disaster,24,3
american,11.132794169439268,0.0008481473105580495,Disaster,6,19
flattened,11.080707898525576,0.0008723049364561658,Kein Disaster,29,5
lava,11.080707898525576,0.0008723049364561658,Kein Disaster,29,5
drown,11.080707898525576,0.0008723049364561658,Kein Disaster,29,5
trouble,11.080707898525576,0.0008723049364561658,Kein Disaster,29,5
finally,11.023147811096525,0.0008998114101660372,Kein Disaster,21,2
cake,11.021548035415904,0.0009005883004179647,Kein Disaster,18,1
need,11.00662642547998,0.0009078673395526415,Kein Disaster,55,17
heat,11.002830404379498,0.0009097285808709898,Disaster,16,32
going,10.922964300794623,0.0009497951186907655,Kein Disaster,76,28
check,10.879647852666434,0.0009722673066949917,Kein Disaster,38,9
russia,10.762054432022481,0.001036023169603494,Disaster,3,14
disease,10.762054432022481,0.001036023169603494,Disaster,3,14
obliterate,10.749874997787973,0.0010428636286592063,Kein Disaster,26,4
obliteration,10.749874997787973,0.0010428636286592063,Kein Disaster,26,4
released,10.73204515948158,0.001052960058143467,Disaster,13,28
hurricane,10.73204515948158,0.001052960058143467,Disaster,13,28
25,10.66232432823708,0.0010933990573762425,Disaster,7,20
shot,10.66232432823708,0.0010933990573762425,Disaster,7,20
site,10.66232432823708,0.0010933990573762425,Disaster,7,20
learning,10.619382451849589,0.0011190841436905087,Disaster,0,8
rail,10.619382451849589,0.0011190841436905087,Disaster,0,8
ridge,10.619382451849589,0.0011190841436905087,Disaster,0,8
capsizes,10.619382451849589,0.0011190841436905087,Disaster,0,8
malaysian,10.619382451849589,0.0011190841436905087,Disaster,0,8
parley,10.619382451849589,0.0011190841436905087,Disaster,0,8
residents,10.619382451849589,0.0011190841436905087,Disaster,0,8
triple,10.619382451849589,0.0011190841436905087,Disaster,0,8
tropical,10.619382451849589,0.0011190841436905087,Disaster,0,8
mediterran,10.619382451849589,0.0011190841436905087,Disaster,0,8
edt,10.619382451849589,0.0011190841436905087,Disaster,0,8
warnings,10.619382451849589,0.0011190841436905087,Disaster,0,8
acres,10.619382451849589,0.0011190841436905087,Disaster,0,8
bombings,10.619382451849589,0.0011190841436905087,Disaster,0,8
advisory,10.619382451849589,0.0011190841436905087,Disaster,0,8
bicyclist,10.619382451849589,0.0011190841436905087,Disaster,0,8
mumbai,10.619382451849589,0.0011190841436905087,Disaster,0,8
afternoon,10.619382451849589,0.0011190841436905087,Disaster,0,8
catastrophic,10.586161294788425,0.0011393730445808633,Disaster,10,24
career,10.546752648549054,0.0011639240031857622,Kein Disaster,14,0
year,10.518300824866628,0.0011819811539789517,Disaster,40,58
offensive,10.479361056865605,0.0012071549747178895,Kein Disaster,23,3
victims,10.440160145205574,0.0012330457870566253,Disaster,2,12
winds,10.440160145205574,0.0012330457870566253,Disaster,2,12
oklahoma,10.440160145205574,0.0012330457870566253,Disaster,2,12
600,10.440160145205574,0.0012330457870566253,Disaster,2,12
time2015,10.440160145205574,0.0012330457870566253,Disaster,2,12
islamic,10.440160145205574,0.0012330457870566253,Disaster,2,12
utc2015,10.440160145205574,0.0012330457870566253,Disaster,2,12
demolish,10.418294499417485,0.001247730687497343,Kein Disaster,28,5
soon,10.418294499417485,0.001247730687497343,Kein Disaster,28,5
bagging,10.418294499417485,0.001247730687497343,Kein Disaster,28,5
rocky,10.317783647546927,0.0013175441890217838,Disaster,1,10
130,10.317783647546927,0.0013175441890217838,Disaster,1,10
repatriated,10.317783647546927,0.0013175441890217838,Disaster,1,10
fears,10.317783647546927,0.0013175441890217838,Disaster,1,10
modified,10.317783647546927,0.0013175441890217838,Disaster,1,10
usgs,10.317783647546927,0.0013175441890217838,Disaster,1,10
moving,10.317783647546927,0.0013175441890217838,Disaster,1,10
captures,10.317783647546927,0.0013175441890217838,Disaster,1,10
buses,10.317783647546927,0.0013175441890217838,Disaster,1,10
says,10.315153504105776,0.0013194232086686049,Disaster,15,30
womens,10.280140613973863,0.001344696986186185,Kein Disaster,17,1
wanna,10.160909678890226,0.0014344982223114392,Kein Disaster,30,6
fun,10.071584024618097,0.00150573524502226,Kein Disaster,25,4
2015,10.064554736915184,0.001511490904234041,Disaster,34,51
alarm,10.038082266137444,0.0015333675553420413,Disaster,4,15
god,9.972160165842237,0.0015892492586479842,Kein Disaster,47,14
fuck,9.960598456703906,0.001599260602405898,Kein Disaster,32,7
traffic,9.9191334130163,0.0016356937795879447,Disaster,9,22
hey,9.782524444326778,0.0017617826455058794,Kein Disaster,22,3
isis,9.622442791460308,0.001922138984296371,Disaster,10,23
jobs,9.584059126833864,0.0019627399330998468,Kein Disaster,19,2
claims,9.569656848086863,0.0019781975532298384,Disaster,3,13
scene,9.569656848086863,0.0019781975532298384,Disaster,3,13
hiring,9.54013696352645,0.0020102674169302347,Kein Disaster,16,1
ancient,9.54013696352645,0.0020102674169302347,Kein Disaster,16,1
night,9.528653321929465,0.0020228850026594507,Kein Disaster,40,11
blown,9.524163412033221,0.002027840074033566,Kein Disaster,29,6
inundated,9.524163412033221,0.002027840074033566,Kein Disaster,29,6
desolation,9.524163412033221,0.002027840074033566,Kein Disaster,29,6
